id,establishment_name,establishment_id,ein,company_name,street_address,city,state,zip_code,naics_code,naics_year,industry_description,establishment_type,size,annual_average_employees,total_hours_worked,no_injuries_illnesses,total_deaths,total_dafw_cases,total_djtr_cases,total_other_cases,total_dafw_days,total_djtr_days,total_injuries,total_skin_disorders,total_respiratory_conditions,total_poisonings,total_hearing_loss,total_other_illnesses,created_timestamp,change_reason,year_filing_for,sector,zipcode,naics_char
2134287,ICL-IP America INC Gallipolis Ferry,262124,352303211,ICL-IP America INC,11636 Huntington Road,Gallipolis Ferry,WV,25515,325180,2022.0,"Phosphorus compounds, not specified elsewhere by process, manufacturing",1.0,2,109,226800,1,0,0,0,3,0,0,3,0,0,0,0,0,18JAN24:08:42:00,,2023,Manufacturing,25515,325180
2134288,Valtris Specialty Chemicals - Independence,1073885,472334051,Valtris Global Headquarters,7500 East Pleasant Valley Road,Independence,OH,44131,325199,2022.0,"Plasticizers (i.e., basic synthetic chemicals) manufacturing",1.0,21,50,100000,2,0,0,0,0,0,0,0,0,0,0,0,0,18JAN24:09:00:00,,2023,Manufacturing,44131,325199
2134325,PMC Organometallix,1076357,,PMC Organometallix,2316 Highland Ave,Carrollton,KY,41008,325180,2022.0,"Tin compounds, not specified elsewhere by process, manufacturing",1.0,22,189,396928,1,0,3,0,0,192,0,3,0,0,0,0,0,18JAN24:11:55:00,,2023,Manufacturing,41008,325180
2134398,Corporate,1076368,,,18211 Katy Fwy Ste 325,Houston,TX,77094,325314,2022.0,Phosphatic fertilizers made by mixing purchased materials,1.0,21,35,63892,2,0,0,0,0,0,0,0,0,0,0,0,0,18JAN24:13:09:00,,2023,Manufacturing,77094,325314
2134407,Synsus Private Label,1068701,271056587,Synsus (Hocking International),171 Gene E Stewart Blvd,Sylacauga,AL,35151,325314,2022.0,Phosphatic fertilizers made by mixing purchased materials,1.0,21,35,103125,2,0,0,0,0,0,0,0,0,0,0,0,0,18JAN24:13:11:00,,2023,Manufacturing,35151,325314
2134416,Ashland Specialty Ingredients,1076371,,Ashland Specialty Ingredients,50 South Minisink Avenue,Parlin,NJ,8859,325199,2022.0,Organo-inorganic compound manufacturing,1.0,21,73,147472,2,0,0,0,0,0,0,0,0,0,0,0,0,18JAN24:13:36:00,"Miss calculation of hours, mistake corrected",2023,Manufacturing,8859,325199
2134877,PQ LLC,803013,230972750.0,PQ Corporation,111 Ingalls Avenue,Joliet,IL,60435,325180,2022.0,"Sodium silicate (i.e., water glass) manufacturing",1.0,2,62,129359,2,0,0,0,0,0,0,0,0,0,0,0,0,18JAN24:15:12:00,,2023,Manufacturing,60435,325180
2134883,Bio-Cat Microbials,1076522,,Bio-cat Microbials,689 Canterbury Road,Shakopee,MN,55379,325199,2022.0,Organo-inorganic compound manufacturing,1.0,21,20,41600,1,0,1,0,1,38,0,2,0,0,0,0,0,18JAN24:15:13:00,,2023,Manufacturing,55379,325199
2134894,Innophos Geismar Plant,978362,,Innophos Inc.,10810 Hwy 75,Geismar,LA,70734,325312,2022.0,Phosphoric acid manufacturing,1.0,2,58,123215,2,0,0,0,0,0,0,0,0,0,0,0,0,18JAN24:15:13:00,,2023,Manufacturing,70734,325312
2134981,Valtris Specialty Chemcials-- Delaware River,433610,472334051.0,Valtris Specialty Chemcials,"170 ROUTE 130 S BRIDGEPORT, NJ 08014",Bridgeport,NJ,8014,325199,2022.0,Phosphoric acid esters manufacturing,1.0,2,69,155198,2,0,0,0,0,0,0,0,0,0,0,0,0,18JAN24:15:27:00,,2023,Manufacturing,8014,325199
2135139,Zochem LLC,923271,,Zochem LLC,600 Printwood Dr,Dickson,TN,37055,325180,2022.0,Zinc oxide (except pigments) manufacturing,1.0,2,35,78029,2,0,0,0,0,0,0,0,0,0,0,0,0,18JAN24:15:50:00,,2023,Manufacturing,37055,325180
2135310,Ascend Decatur Site,812182,,Ascend Performance Materials Operations LLC,1050 Chemstrand Avenue,Decatur,AL,35601,325199,2022.0,Adiponitrile manufacturing,1.0,3,341,788180,1,0,0,0,1,0,0,1,0,0,0,0,0,18JAN24:16:12:00,,2023,Manufacturing,35601,325199
2135691,Baze Chemical - Palestine,941144,,Baze Chemical LLC,2187 E FM 323,Palestine,TX,75801,325199,2022.0,Organo-inorganic compound manufacturing,1.0,2,43,71282,2,0,0,0,0,0,0,0,0,0,0,0,0,18JAN24:17:00:00,,2023,Manufacturing,75801,325199
2135737,Baze Chemical  - Liberty,941136,752489141.0,Baze Chemical LLC,1502 Fort Worth St,Liberty,TX,77575,325199,2022.0,Organo-inorganic compound manufacturing,1.0,2,35,65719,1,0,1,0,0,33,0,1,0,0,0,0,0,18JAN24:17:08:00,,2023,Manufacturing,77575,325199
2135947,Calumet Missouri,1076764,383858705.0,"Calumet Refining, LLC",11089 HIGHWAY D,LOUISIANA,MO,63353,325199,2022.0,"Esters, not specified elsewhere by process, manufacturing",1.0,21,29,56370,1,0,0,0,1,0,0,1,0,0,0,0,0,18JAN24:17:44:00,,2023,Manufacturing,63353,325199
2136113,Eco Services Operations Corp,1076814,475248216.0,Ecovyst,2000 Michigan Street,Hammond,IN,46320,325180,2022.0,Sulfuric acid manufacturing,1.0,21,42,90750,2,0,0,0,0,0,0,0,0,0,0,0,0,17APR24:16:12:00,,2023,Manufacturing,46320,325180
2136123,"Xcal Industries, LLC",918843,,,843 lochgelly rd,oak hill,WV,25901,325180,2022.0,"Carbides (e.g., boron, calcium, silicon, tungsten) manufacturing",1.0,2,46,108656,1,0,1,0,0,22,0,1,0,0,0,0,0,18JAN24:18:08:00,,2023,Manufacturing,25901,325180
2136849,Administration,927497,,Nutrien,15843 SE 78th Street,White Springs,FL,32096,325312,2022.0,Phosphoric acid manufacturing,1.0,2,54,138293,1,0,1,0,0,4,17,1,0,0,0,0,0,18JAN24:19:18:00,,2023,Manufacturing,32096,325312
2136850,Suwannee River Chemical,927495,,Nutrien,15843 SE 78th Street,White Springs,FL,32096,325312,2022.0,Phosphoric acid manufacturing,1.0,2,71,183204,1,0,1,2,1,65,63,4,0,0,0,0,0,18JAN24:19:18:00,,2023,Manufacturing,32096,325312
2136851,Swift Creek Chemical,927492,,Nutrien,15843 SE 78th Street,White Springs,FL,32096,325312,2022.0,Phosphoric acid manufacturing,1.0,2,166,415556,1,0,7,2,2,845,139,11,0,0,0,0,0,18JAN24:19:18:00,,2023,Manufacturing,32096,325312
2136861,Mosaic Plant City,544144,363892806.0,Mosaic Fertilizer LLC,660 E County Line Road,Plant City,FL,33565,325312,2022.0,Diammonium phosphates manufacturing,1.0,2,32,61038,2,0,0,0,0,0,0,0,0,0,0,0,0,18JAN24:19:19:00,,2023,Manufacturing,33565,325312
2136891,Mosaic Bonnie Facility,811685,363892806.0,Mosaic Fertilizer LLC,3001 Bonnie Mine Road,Mulberry,FL,33860,325312,2022.0,Diammonium phosphates manufacturing,1.0,1,16,36875,2,0,0,0,0,0,0,0,0,0,0,0,0,18JAN24:19:23:00,,2023,Manufacturing,33860,325312
2136894,Mosaic Green Bay,811670,363892806.0,Mosaic Fertilizer LLC,4390 Count Road 640,Bartow,FL,33830,325312,2022.0,Diammonium phosphates manufacturing,1.0,1,20,46627,2,0,0,0,0,0,0,0,0,0,0,0,0,18JAN24:19:24:00,,2023,Manufacturing,33830,325312
2136992,"REG Ralston, LLC",1077019,205983845.0,Chevron Renewable Energy Group,33321 215th Street,Ralston,IA,51459,325199,2022.0,Transesterification of vegetable oils to produce fuels or fuel additives,1.0,21,27,57636,2,0,0,0,0,0,0,0,0,0,0,0,0,18JAN24:19:37:00,,2023,Manufacturing,51459,325199
2137295,City of Goldsboro/ Compost Facility,675435,566000228.0,City of Goldsboro,City of Goldsboro / 200 N Center Street,Goldsboro,NC,27530,325314,2022.0,Compost manufacturing,3.0,1,5,9100,2,0,0,0,0,0,0,0,0,0,0,0,0,18JAN24:20:13:00,,2023,Manufacturing,27530,325314
2137486,"REG Seneca,LLC",1077161,270986774.0,Chevron Renewable Energy Group,614 East Shipyard Road,Seneca,IL,61360,325199,2022.0,Transesterification of vegetable oils to produce fuels or fuel additives,1.0,21,56,115785,1,0,0,0,1,0,0,1,0,0,0,0,0,18JAN24:20:35:00,,2023,Manufacturing,61360,325199
2137514,FAR Chemical,1073961,593273539.0,,"2210 Wilhelmina Ct, NE",Palm Bay,FL,32905,325199,2022.0,Organo-inorganic compound manufacturing,1.0,21,35,63122,1,0,0,2,2,0,51,4,0,0,0,0,0,18JAN24:20:40:00,,2023,Manufacturing,32905,325199
2137694,"REG Mason City, LLC",1077216,800904120.0,Chevron Renewable Energy Group,4172 19th St. SW,Mason City,IA,50401,325199,2022.0,Transesterification of vegetable oils to produce fuels or fuel additives,1.0,21,35,72108,1,0,0,1,0,0,8,1,0,0,0,0,0,18JAN24:21:07:00,,2023,Manufacturing,50401,325199
2137814,"United Initiators, Inc.",73006,,"United Initiators, Inc.",334 Phillips 311 Road,Helena,AR,72342,325199,2022.0,"Peroxides, organic, manufacturing",1.0,2,76,154820,1,0,0,1,0,0,2,1,0,0,0,0,0,18JAN24:21:31:00,,2023,Manufacturing,72342,325199
2137843,Koch Fertilizer Fort Dodge,921979,,"Koch Fertilizer Fort Dodge, LLC",3162 200th St.,Duncombe,IA,50532,325311,2022.0,"Ammonia, anhydrous and aqueous, manufacturing",1.0,2,76,167540,1,0,2,0,0,18,98,2,0,0,0,0,0,18JAN24:21:37:00,,2023,Manufacturing,50532,325311
2138020,Natural Soda LLC,1007511,,Natural Soda LLC,3200 County Road 31,Rifle,CO,81650,325180,2022.0,Sodium bicarbonate manufacturing,1.0,2,71,153388,1,0,1,0,0,1,0,1,0,0,0,0,0,18JAN24:22:23:00,,2023,Manufacturing,81650,325180
2138588,Entegris,1077484,,Entegris,800 West Front St.,Chester,PA,19013,325199,2022.0,"Accelerators (i.e., basic synthetic chemical) manufacturing",1.0,21,20,75344,1,0,0,0,1,0,0,1,0,0,0,0,0,19JAN24:13:53:00,,2023,Manufacturing,19013,325199
2138695,Pursell Agri-Tech LLC,835600,474489303.0,Pursell Agri-Tech LLC,501 East 3rd Street,Sylacauga,AL,35150,325314,2022.0,Mixing purchased fertilizer materials,1.0,2,40,83200,1,0,0,0,1,0,0,1,0,0,0,0,0,19JAN24:14:24:00,,2023,Manufacturing,35150,325314
2138759,Pursell Agri-Tech LLC GA,1077513,474489303.0,Pursell Agri-Tech LLC,1600 East President St.,Savannah,GA,31404,325314,2022.0,Nitrogenous fertilizers made by mixing purchased materials,1.0,1,12,24960,2,0,0,0,0,0,0,0,0,0,0,0,0,19JAN24:14:32:00,,2023,Manufacturing,31404,325314
2138818,Eco Services Baton Rouge,98921,475248216.0,Ecovyst,1301 Airline Highway,Baton Rouge,LA,70805,325180,2022.0,Sulfuric acid manufacturing,1.0,2,104,241950,1,0,1,0,0,321,0,1,0,0,0,0,0,19JAN24:14:46:00,,2023,Manufacturing,70805,325180
2138887,Old Fort Plant,128299,134996950.0,Church & Dwight Co. Inc.,2501 East CR 34,Old Fort,OH,44861,325180,2022.0,Sodium bicarbonate manufacturing,1.0,3,268,550228,1,0,1,1,1,1,32,3,0,0,0,0,0,19JAN24:15:03:00,,2023,Manufacturing,44861,325180
2139049,Evonik Oil Additives USA Inc.,985175,,,1700 Tidal Rd,Deer Park,TX,77536,325199,2022.0,Organo-inorganic compound manufacturing,1.0,2,48,115701,2,0,0,0,0,0,0,0,0,0,0,0,0,19JAN24:15:34:00,,2023,Manufacturing,77536,325199
2139327,BleachTech LLC,798055,161617950.0,BleachTech LLC,350 Ryan Road,Seville,OH,44273,325180,2022.0,Sodium arsenite (except insecticides) manufacturing,1.0,2,40,54091,1,0,2,1,0,9,5,2,0,1,0,0,0,19JAN24:16:21:00,,2023,Manufacturing,44273,325180
2139415,Iochem-OK,409371,,Iochem Corporation,210786 US Hwy 60,Vici,OK,73859,325180,2022.0,"Iodine, crude or resublimed, manufacturing",1.0,2,56,117980,2,0,0,0,0,0,0,0,0,0,0,0,0,19JAN24:16:34:00,,2023,Manufacturing,73859,325180
2139646,Terra International LLC.,290982,421321208.0,Terra International LLC.,1000 Terra Dr.,"Woodward, OK",OK,73801,325311,2022.0,"Ammonia, anhydrous and aqueous, manufacturing",1.0,2,166,362283,1,0,0,0,1,0,0,1,0,0,0,0,0,19JAN24:17:01:00,,2023,Manufacturing,73801,325311
2140339,Columbus (Hilliard-Atlas St.),937435,,Life Sciences,1979 Atlas Street,Columbus,OH,43228,325199,2022.0,Manufacturer of specialty chemicals.,1.0,2,38,95282,2,0,0,0,0,0,0,0,0,0,0,0,0,19JAN24:18:52:00,,2023,Manufacturing,43228,325199
2140456,Timilon Corporation Topeka Facility,952336,850926625.0,Timilon Corporation,3602 NW 16th Street,Topeka,KS,66618,325180,2022.0,"Air purification equipment, portable, manufacturing",1.0,21,20,36402,2,0,0,0,0,0,0,0,0,0,0,0,0,19JAN24:19:16:00,,2023,Manufacturing,66618,325180
2140481,Black Gold Compost Company,957893,592505026.0,Black Gold Compost Company,11424 County Road 237,Oxford,FL,34484,325311,2022.0,"Fertilizers, natural organic (except compost), manufacturing",1.0,2,26,54618,1,0,2,0,0,2,0,2,0,0,0,0,0,06MAR24:17:48:00,"Confirmation says it was submitted on 1/19/24. Previous years say ""you successfully submitted this to OSHA. Can you please confirm that this was submitted successfully on 1/19/24? Or was is successful today, 3/6/24? Thanks for your help!",2023,Manufacturing,34484,325311
2140839,Dupont Michigan Operations - HIMS Plant,667775,4540.0,"DDP Specialty Electronics, LLC",1635 N . Gleaner,Hemlock,MI,48626,325199,2022.0,"Natural nonfood coloring, manufacturing",1.0,2,220,349250,2,0,0,0,0,0,0,0,0,0,0,0,0,19JAN24:20:02:00,,2023,Manufacturing,48626,325199
2141078,"Lindau Chemicals, Inc.",1078241,,"Lindau Chemicals, Inc.",731 Rosewood Dr.,Columbia,SC,29201,325199,2022.0,Organo-inorganic compound manufacturing,1.0,21,53,103273,1,0,1,0,0,9,0,1,0,0,0,0,0,19JAN24:20:36:00,,2023,Manufacturing,29201,325199
2141317,PQ LLC Chester Plant,1077551,230972750.0,PQ LLC,1201 W Front St,Chester,PA,19013,325180,2022.0,"Sodium silicate (i.e., water glass) manufacturing",1.0,21,27,55720,2,0,0,0,0,0,0,0,0,0,0,0,0,19JAN24:21:14:00,,2023,Manufacturing,19013,325180
2141333,St. Louis,810027,230972750.0,PQ LLC,4238 Geraldine Avenue,St. Louis,MO,63115,325180,2022.0,"Sodium inorganic compounds, not specified elsewhere by process, manufacturing",1.0,2,33,73338,2,0,0,0,0,0,0,0,0,0,0,0,0,19JAN24:21:17:00,,2023,Manufacturing,63115,325180
2141735,"Cargill, Incorporated Blooming Prairie Plant",317752,410177680.0,"Cargill, Incorporated Blooming Prairie Plant",157 Highway Avenue North,Blooming Prairie,MN,55917,325199,2022.0,"Peroxides, organic, manufacturing",1.0,2,49,106280,2,0,0,0,0,0,0,0,0,0,0,0,0,19JAN24:23:38:00,,2023,Manufacturing,55917,325199
2142325,SantoLubes Manufacturing LLC,521565,,SantoLubes LLC,2155 West Croft Circle,Spartanburg,SC,29302,325199,2022.0,"Esters, not specified elsewhere by process, manufacturing",1.0,2,61,125655,2,0,0,0,0,0,0,0,0,0,0,0,0,22JAN24:13:55:00,,2023,Manufacturing,29302,325199
2142504,Heraeus Epurio LLC,913395,,,970 Industrial Park Drive,Vandalia,OH,45377,325199,2022.0,Organo-inorganic compound manufacturing,1.0,2,84,147025,1,0,0,1,5,0,15,3,2,1,0,0,0,22JAN24:14:33:00,,2023,Manufacturing,45377,325199
2142550,"Micronutrients USA, LLC",946099,351972203.0,"Micronutrients USA, LLC",1550 Research Way,Indianapolis,IN,46231,325180,2022.0,"Copper compounds, not specified elsewhere by process, manufacturing",1.0,2,97,221054,1,0,1,1,1,64,46,3,0,0,0,0,0,22JAN24:14:39:00,,2023,Manufacturing,46231,325180
2142597,"Micronutrients USA, LLC - Warehouse",946167,351972203.0,"Micronutrients USA, LLC - Warehouse",1908 Stout Field West Drive,Indianapolis,IN,46241,325180,2022.0,"Copper compounds, not specified elsewhere by process, manufacturing",1.0,2,16,58834,2,0,0,0,0,0,0,0,0,0,0,0,0,22JAN24:14:48:00,,2023,Manufacturing,46241,325180
2142630,"Micronutrients USA, LLC - Corporate Office",946143,351972203.0,"Micronutrients USA, LLC - Corporate Office","3905 Vincennes Road, Suite 100",Indianapolis,IN,46268,325180,2022.0,"Copper compounds, not specified elsewhere by process, manufacturing",1.0,2,34,73097,2,0,0,0,0,0,0,0,0,0,0,0,0,22JAN24:14:54:00,,2023,Manufacturing,46268,325180
2143266,Technic Inc,1069110,,Technic Inc,300 Park East Dr,Woonsocket,RI,2895,325180,2022.0,"Silver compounds, not specified elsewhere by process, manufacturing",1.0,21,55,91051,1,0,1,0,0,5,0,1,0,0,0,0,0,22JAN24:16:09:00,,2023,Manufacturing,2895,325180
2143653,UCC Institute Facility,82853,131421730.0,Union Carbide Corporation,State Route 25,Institute,WV,25112,325199,2022.0,"Carbon organic compounds, not specified elsewhere by process, manufacturing",1.0,2,65,134075,2,0,0,0,0,0,0,0,0,0,0,0,0,22JAN24:17:09:00,,2023,Manufacturing,25112,325199
2143948,Arkema Clear Lake,995167,,Arkema,9502B Bayport Blvd,Pasadena,TX,77507,325180,2022.0,Carbon inorganic compounds manufacturing,1.0,2,150,321103,1,0,0,0,1,0,0,1,0,0,0,0,0,22JAN24:17:50:00,,2023,Manufacturing,77507,325180
2144595,Dewey,1079331,510105342.0,Milliken & Company,1440 Campton Road,Inman,SC,29349,325199,2022.0,"Natural nonfood coloring, manufacturing",1.0,22,135,302787,1,0,0,0,1,0,0,1,0,0,0,0,0,22JAN24:19:05:00,,2023,Manufacturing,29349,325199
2144696,Honeywell Muskegon Facility,799369,222640650.0,Honeywell International,1953 South Harvey Street,Muskegon,MI,49442,325199,2022.0,"Carbon organic compounds, not specified elsewhere by process, manufacturing",1.0,2,75,130427,2,0,0,0,0,0,0,0,0,0,0,0,0,22JAN24:19:14:00,,2023,Manufacturing,49442,325199
2145118,"Nippon Shokubai America, Inc. (NAII)",546257,510306007.0,"Nippon Shokubai America, Inc.",2651 Riverport Road,Chattanooga,TN,37406,325199,2022.0,"Sodium organic compounds, not specified elsewhere by process, manufacturing",1.0,2,34,72474,2,0,0,0,0,0,0,0,0,0,0,0,0,22JAN24:19:52:00,,2023,Manufacturing,37406,325199
2145246,"Lyondell Chemical Company, Bayport",423474,,Lyondelbasell Industries,10801 Choate Road,Pasadena,TX,77507,325199,2022.0,Propylene glycol manufacturing,1.0,3,354,866147,1,0,1,0,0,11,0,1,0,0,0,0,0,22JAN24:20:01:00,,2023,Manufacturing,77507,325199
2145285,Hero BX - Erie,59335,253823664.0,"Lake Erie Biofuels, LLC dba Hero BX",1670 E Lake Rd,Erie,PA,16511,325199,2022.0,Transesterification of vegetable oils to produce fuels or fuel additives,1.0,2,74,143655,2,0,0,0,0,0,0,0,0,0,0,0,0,22JAN24:20:06:00,,2023,Manufacturing,16511,325199
2145378,Hero BX - Alabama,59348,475354232.0,"Lake Erie Biofuels, LLC dba Hero BX",12982 Cherokee Bend Drive,Moundville,AL,35474,325199,2022.0,Transesterification of vegetable oils to produce fuels or fuel additives,1.0,2,38,81040,1,0,0,0,1,0,0,0,1,0,0,0,0,22JAN24:20:16:00,,2023,Manufacturing,35474,325199
2145379,"Optima Chemical Group, LLC",1079623,582264211.0,"Optima Chemical Group, LLC",200 WILLACOOCHEE HWY,DOUGLAS,GA,31535,325199,2022.0,Organo-inorganic compound manufacturing,1.0,22,120,291417,1,0,0,0,1,0,0,1,0,0,0,0,0,22JAN24:20:16:00,,2023,Manufacturing,31535,325199
2145387,"Hero BX - Clinton, IA",924024,203823664.0,Hero BX,5640 44th Avenue,Clinton,IA,52732,325199,2022.0,"Esters, not specified elsewhere by process, manufacturing",1.0,2,21,41688,2,0,0,0,0,0,0,0,0,0,0,0,0,22JAN24:20:17:00,,2023,Manufacturing,52732,325199
2146025,"Evonik Active Oxygens, LLC - Bayport",810114,300805773.0,"Evonik Active Oxygens, LLC",12000 Bay Area Blvd,Pasadena,TX,77507,325180,2022.0,Hydrogen peroxide manufacturing,1.0,2,67,143644,1,0,0,1,0,0,2,1,0,0,0,0,0,22JAN24:21:25:00,,2023,Manufacturing,77507,325180
2146218,W. R. Grace Chicago 71st,871978,135114230.0,W.R. Grace,4099 W. 71st Street,Chicago,IL,60629,325180,2022.0,"Sodium inorganic compounds, not specified elsewhere by process, manufacturing",1.0,2,113,227199,2,0,0,0,0,0,0,0,0,0,0,0,0,22JAN24:21:53:00,,2023,Manufacturing,60629,325180
2146493,Cayman Chemical Company,521240,840845784.0,Cayman Chemical Company,1180 East Ellsworth Road,Ann Arbor,MI,48108,325199,2022.0,Organo-inorganic compound manufacturing,1.0,3,340,598439,1,0,2,0,3,10,0,4,1,0,0,0,0,22JAN24:22:45:00,,2023,Manufacturing,48108,325199
2146505,"REG Grays Harbor, LLC",1079990,205066500.0,"REG Grays Harbor, LLC",3122 Port Industrial RD.,Hoquiam,WA,98550,325199,2022.0,Transesterification of vegetable oils to produce fuels or fuel additives,1.0,21,43,94436,1,0,1,0,1,7,42,2,0,0,0,0,0,18JUN24:21:00:00,Updating the data presented due to an entry error,2023,Manufacturing,98550,325199
2146861,Mosaic,1022376,,Mosaic,8813 US Hwy 41 S,Riverview,FL,33578,325312,2022.0,"Fertilizers, mixed, made in plants producing phosphatic fertilizer materials",1.0,3,259,585409,1,0,0,2,1,0,97,3,0,0,0,0,0,23JAN24:13:08:00,,2023,Manufacturing,33578,325312
2147031,"Nyacol Nano Technologies, Inc.",286299,42719688.0,"Nyacol Nano Technologies, Inc.",211 Megunko Road,Ashland,MA,1721,325180,2022.0,Antimony oxide (except pigments) manufacturing,1.0,2,26,39670,1,0,2,0,0,41,0,2,0,0,0,0,0,23JAN24:14:10:00,,2023,Manufacturing,1721,325180
2147055,Albemarle Corporation - Pasadena,799012,541692118.0,Albemarle Corporation,2500 N South St,Pasadena,TX,77503,325199,2022.0,"Natural nonfood coloring, manufacturing",1.0,2,204,385395,1,0,0,1,0,0,14,1,0,0,0,0,0,23JAN24:14:14:00,,2023,Manufacturing,77503,325199
2147305,NuCerea Solutions,1080295,851985190.0,NuCera Solutions,601 S 5th St,Barnsdall,OK,74002,325199,2022.0,"Natural nonfood coloring, manufacturing",1.0,21,96,192671,1,0,0,1,0,0,13,1,0,0,0,0,0,23JAN24:15:01:00,,2023,Manufacturing,74002,325199
2147402,Valtris Specialty Chemcials-- Walton Hills,433583,472334051.0,Valtris Specialty Chemcials,7050 Krick Road,Walton Hills,OH,44146,325199,2022.0,"Esters, not specified elsewhere by process, manufacturing",1.0,2,54,110879,2,0,0,0,0,0,0,0,0,0,0,0,0,23JAN24:15:12:00,,2023,Manufacturing,44146,325199
2147434,Valtris Specialty Chemcials-- Wayside Avenue,433593,472334051.0,Valtris Specialty Chemcials,1636 Wayside Avenue,Cleveland,OH,44112,325199,2022.0,Stearic acid esters manufacturing,1.0,2,36,68350,2,0,0,0,0,0,0,0,0,0,0,0,0,23JAN24:15:16:00,,2023,Manufacturing,44112,325199
2147668,Sul4R-Plus LLC,801898,814871641.0,Sul4R-Plus LLC,13287 OBannon Station Road,Louisville,KY,40223,325311,2022.0,"Fertilizers, natural organic (except compost), manufacturing",1.0,21,28,51319,2,0,0,0,0,0,0,0,0,0,0,0,0,23JAN24:15:38:00,,2023,Manufacturing,40223,325311
2148006,"Lotte Chemical Louisiana, LLC",666652,,"Lotte Chemical Louisiana, LLC",2200 Bayou D'Inde Pass,Westlake,LA,70669,325199,2022.0,Organo-inorganic compound manufacturing,1.0,2,39,84577,2,0,0,0,0,0,0,0,0,0,0,0,0,23JAN24:16:14:00,,2023,Manufacturing,70669,325199
2148759,Chemol Company Inc.,923835,582265455.0,Chemol Company Inc.,2300 Randolph Ave.,Greensboro,NC,27406,325199,2022.0,"Carbon organic compounds, not specified elsewhere by process, manufacturing",1.0,2,35,66283,1,0,2,0,0,106,0,2,0,0,0,0,0,23JAN24:16:52:00,,2023,Manufacturing,27406,325199
2148833,"PMP Fermentation Products, Inc",932183,391503124.0,"PMP Fermentation Products, Inc",900 NE Adams Street,Peoria,IL,61603,325199,2022.0,"Sodium organic compounds, not specified elsewhere by process, manufacturing",1.0,2,58,115774,1,0,0,0,1,0,0,1,0,0,0,0,0,23JAN24:17:00:00,,2023,Manufacturing,61603,325199
2149094,"Fuji Silysia Chemical USA, Ltd",270698,562116206.0,Fuji Silysia Chemical,1215 Sugg Parkway,Greenville,NC,27834,325180,2022.0,"Sodium silicate (i.e., water glass) manufacturing",1.0,2,28,52411,1,0,1,0,1,30,0,2,0,0,0,0,0,23JAN24:17:35:00,,2023,Manufacturing,27834,325180
2149427,DuPont Michigan Operations - Midland Plant,566108,821085022.0,"DDP Specialty Electronic Materials US, LLC",3400 South Saginaw Road Unit 96,Midland,MI,48640,325199,2022.0,"Natural nonfood coloring, manufacturing",1.0,3,373,833561,1,0,1,0,0,17,0,1,0,0,0,0,0,23JAN24:18:04:00,,2023,Manufacturing,48640,325199
2149790,Enzyme Development Corporation,282999,133573425.0,Enzyme Development Corporation,314 South Sherman Ave.,Scranton,PA,18504,325199,2022.0,"Enzyme proteins (i.e., basic synthetic chemicals) (except pharmaceutical use) manufacturing",1.0,2,30,50106,1,0,1,0,0,180,0,1,0,0,0,0,0,23JAN24:18:36:00,,2023,Manufacturing,18504,325199
2149998,Pasadena Site,951701,,Nouryon Functional Chemicals LLC,12900 Bay Park Road,Pasadena,TX,77507,325199,2022.0,"Natural nonfood coloring, manufacturing",1.0,2,91,190091,2,0,0,0,0,0,0,0,0,0,0,0,0,23JAN24:18:59:00,,2023,Manufacturing,77507,325199
2150240,"Aculon, Inc",1081258,721544312.0,"Aculon, Inc","10110 Sorrento Valley Road, Ste C",San Diego,CA,92121,325199,2022.0,Organo-inorganic compound manufacturing,1.0,21,23,43387,2,0,0,0,0,0,0,0,0,0,0,0,0,23JAN24:19:25:00,,2023,Manufacturing,92121,325199
2150591,Hammond Lead Products - Pottstown Plant,414992,350362850.0,"Hammond Group, Inc.",10 South Grosstown Road,Pottstown,PA,19464,325180,2022.0,Lead oxides (except pigments) manufacturing,1.0,2,42,59315,1,0,0,1,1,0,48,1,0,0,0,1,0,23JAN24:19:59:00,,2023,Manufacturing,19464,325180
2150593,Hammond Lead Products - Hammond Plant,414996,350362850.0,"Hammond Group, Inc.",2308 165th Street,Hammond,IN,46320,325180,2022.0,Lead oxides (except pigments) manufacturing,,2,43,61350,1,0,0,1,0,0,21,1,0,0,0,0,0,23JAN24:19:59:00,,2023,Manufacturing,46320,325180
2150594,Hammond Expanders,415009,350362850.0,"Hammond Group, Inc.",3100 Michigan Street,Hammond,IN,46320,325180,2022.0,Carbon inorganic compounds manufacturing,1.0,2,29,45105,2,0,0,0,0,0,0,0,0,0,0,0,0,23JAN24:19:59:00,,2023,Manufacturing,46320,325180
2150611,"IFF Jacksonville, FL",170406,,IFF Chemical Holdings Inc.,2051 N. Lane Avenue,Jacksonville,FL,32254,325199,2022.0,"Perfume materials (i.e., basic synthetic chemicals, such as terpineol) manufacturing",1.0,2,79,202373,1,0,0,1,1,0,73,2,0,0,0,0,0,23JAN24:20:00:00,,2023,Manufacturing,32254,325199
2151086,Baker Hughes LLC Bakersfield Blend Plant,1081440,,Baker Hughes,5135 Boylan Street,Bakersfield,CA,93308,325199,2022.0,"Acids, organic, not specified elsewhere by process, manufacturing",1.0,1,18,44330,2,0,0,0,0,0,0,0,0,0,0,0,0,23JAN24:20:51:00,,2023,Manufacturing,93308,325199
